COG	COG term
COG3306	[M] COG3306 Glycosyltransferase involved in LPS biosynthesis
COG3307	[M] COG3307 Lipid A core - O-antigen ligase and related enzymes
COG3308	[S] COG3308 Predicted membrane protein
COG3309	[S] COG3309 Uncharacterized virulence-associated protein D
COG3310	[S] COG3310 Uncharacterized protein conserved in bacteria
COG3311	[K] COG3311 Predicted transcriptional regulator
COG3312	[C] COG3312 F0F1-type ATP synthase, subunit I
COG3313	[R] COG3313 Predicted Fe-S protein
COG3314	[S] COG3314 Uncharacterized protein conserved in bacteria
COG3315	[Q] COG3315 O-Methyltransferase involved in polyketide biosynthesis
COG3316	[L] COG3316 Transposase and inactivated derivatives
COG3317	[M] COG3317 Uncharacterized lipoprotein
COG3318	[R] COG3318 Predicted metal-binding protein related to the C-terminal domain of SecA
COG3319	[Q] COG3319 Thioesterase domains of type I polyketide synthases or non-ribosomal peptide synthetases
COG3320	[Q] COG3320 Putative dehydrogenase domain of multifunctional non-ribosomal peptide synthetases and related enzymes
COG3321	[Q] COG3321 Polyketide synthase modules and related proteins
COG3322	[T] COG3322 Predicted periplasmic ligand-binding sensor domain
COG3323	[S] COG3323 Uncharacterized protein conserved in bacteria
COG3324	[R] COG3324 Predicted enzyme related to lactoylglutathione lyase
COG3325	[G] COG3325 Chitinase
COG3326	[S] COG3326 Predicted membrane protein
COG3327	[K] COG3327 Phenylacetic acid-responsive transcriptional repressor
COG3328	[L] COG3328 Transposase and inactivated derivatives
COG3329	[R] COG3329 Predicted permease
COG3330	[S] COG3330 Uncharacterized protein conserved in bacteria
COG3331	[R] COG3331 Penicillin-binding protein-related factor A, putative recombinase
COG3332	[S] COG3332 Uncharacterized conserved protein
COG3333	[S] COG3333 Uncharacterized protein conserved in bacteria
COG3334	[S] COG3334 Uncharacterized conserved protein
COG3335	[L] COG3335 Transposase and inactivated derivatives
COG3336	[S] COG3336 Predicted membrane protein
COG3337	[L] COG3337 Uncharacterized protein predicted to be involved in DNA repair
COG3338	[P] COG3338 Carbonic anhydrase
COG3339	[S] COG3339 Uncharacterized conserved protein
COG3340	[E] COG3340 Peptidase E
COG3341	[R] COG3341 Predicted double-stranded RNA/RNA-DNA hybrid binding protein
COG3342	[S] COG3342 Uncharacterized conserved protein
COG3343	[K] COG3343 DNA-directed RNA polymerase, delta subunit
COG3344	[L] COG3344 Retron-type reverse transcriptase
COG3345	[G] COG3345 Alpha-galactosidase
COG3346	[S] COG3346 Uncharacterized conserved protein
COG3347	[S] COG3347 Uncharacterized conserved protein
COG3349	[S] COG3349 Uncharacterized conserved protein
COG3350	[S] COG3350 Uncharacterized conserved protein
COG3351	[N] COG3351 Putative archaeal flagellar protein D/E
COG3352	[N] COG3352 Putative archaeal flagellar protein C
COG3353	[N] COG3353 Putative archaeal flagellar protein F
COG3354	[N] COG3354 Putative archaeal flagellar protein G
COG3355	[K] COG3355 Predicted transcriptional regulator
COG3356	[S] COG3356 Predicted membrane protein
COG3357	[K] COG3357 Predicted transcriptional regulator containing an HTH domain fused to a Zn-ribbon
COG3358	[S] COG3358 Uncharacterized conserved protein
COG3359	[L] COG3359 Predicted exonuclease
COG3360	[S] COG3360 Uncharacterized conserved protein
COG3361	[S] COG3361 Uncharacterized conserved protein
COG3363	[F] COG3363 Archaeal IMP cyclohydrolase
COG3364	[R] COG3364 Zn-ribbon containing protein
COG3365	[S] COG3365 Uncharacterized protein conserved in archaea
COG3366	[S] COG3366 Uncharacterized protein conserved in archaea
COG3367	[S] COG3367 Uncharacterized conserved protein
COG3368	[R] COG3368 Predicted permease
COG3369	[S] COG3369 Uncharacterized conserved protein
COG3370	[S] COG3370 Uncharacterized protein conserved in archaea
COG3371	[S] COG3371 Predicted membrane protein
COG3372	[S] COG3372 Uncharacterized conserved protein
COG3373	[S] COG3373 Uncharacterized protein conserved in archaea
COG3374	[S] COG3374 Predicted membrane protein
COG3375	[S] COG3375 Uncharacterized conserved protein
COG3376	[P] COG3376 High-affinity nickel permease
COG3377	[S] COG3377 Uncharacterized conserved protein
COG3378	[R] COG3378 Predicted ATPase
COG3379	[S] COG3379 Uncharacterized conserved protein
COG3380	[R] COG3380 Predicted NAD/FAD-dependent oxidoreductase
COG3381	[R] COG3381 Uncharacterized component of anaerobic dehydrogenases
COG3382	[S] COG3382 Uncharacterized conserved protein
COG3383	[R] COG3383 Uncharacterized anaerobic dehydrogenase
COG3384	[S] COG3384 Uncharacterized conserved protein
COG3385	[L] COG3385 FOG: Transposase and inactivated derivatives
COG3386	[G] COG3386 Gluconolactonase
COG3387	[G] COG3387 Glucoamylase and related glycosyl hydrolases
COG3388	[S] COG3388 Uncharacterized protein conserved in archaea
COG3389	[S] COG3389 Uncharacterized protein conserved in archaea
COG3390	[S] COG3390 Uncharacterized protein conserved in archaea
COG3391	[S] COG3391 Uncharacterized conserved protein
COG3392	[L] COG3392 Adenine-specific DNA methylase
COG3393	[R] COG3393 Predicted acetyltransferase
COG3394	[S] COG3394 Uncharacterized protein conserved in bacteria
COG3395	[S] COG3395 Uncharacterized protein conserved in bacteria
COG3396	[S] COG3396 Uncharacterized conserved protein
COG3397	[S] COG3397 Uncharacterized protein conserved in bacteria
COG3398	[S] COG3398 Uncharacterized protein conserved in archaea
COG3399	[S] COG3399 Uncharacterized protein conserved in bacteria
COG3400	[S] COG3400 Uncharacterized protein conserved in bacteria
COG3401	[R] COG3401 Fibronectin type 3 domain-containing protein
COG3402	[S] COG3402 Uncharacterized conserved protein
COG3403	[S] COG3403 Uncharacterized conserved protein
COG3404	[E] COG3404 Methenyl tetrahydrofolate cyclohydrolase
COG3405	[G] COG3405 Endoglucanase Y
COG3407	[I] COG3407 Mevalonate pyrophosphate decarboxylase
COG3408	[G] COG3408 Glycogen debranching enzyme
COG3409	[M] COG3409 Putative peptidoglycan-binding domain-containing protein
COG3410	[S] COG3410 Uncharacterized conserved protein
COG3411	[C] COG3411 Ferredoxin
COG3412	[S] COG3412 Uncharacterized protein conserved in bacteria
COG3413	[R] COG3413 Predicted DNA binding protein
COG3414	[G] COG3414 Phosphotransferase system, galactitol-specific IIB component
COG3415	[L] COG3415 Transposase and inactivated derivatives
COG3416	[S] COG3416 Uncharacterized protein conserved in bacteria
COG3417	[R] COG3417 Collagen-binding surface adhesin SpaP (antigen I/II family)
COG3418	[NUO] COG3418 Flagellar biosynthesis/type III secretory pathway chaperone
COG3419	[NU] COG3419 Tfp pilus assembly protein, tip-associated adhesin PilY1
COG3420	[P] COG3420 Nitrous oxidase accessory protein
COG3421	[S] COG3421 Uncharacterized protein conserved in bacteria
COG3422	[S] COG3422 Uncharacterized conserved protein
COG3423	[K] COG3423 Predicted transcriptional regulator
COG3424	[Q] COG3424 Predicted naringenin-chalcone synthase
COG3425	[I] COG3425 3-hydroxy-3-methylglutaryl CoA synthase
COG3426	[C] COG3426 Butyrate kinase
COG3427	[S] COG3427 Uncharacterized conserved protein
COG3428	[S] COG3428 Predicted membrane protein
COG3429	[G] COG3429 Glucose-6-P dehydrogenase subunit
COG3430	[S] COG3430 Uncharacterized protein conserved in archaea
COG3431	[S] COG3431 Predicted membrane protein
COG3432	[K] COG3432 Predicted transcriptional regulator
COG3433	[Q] COG3433 Aryl carrier domain
COG3434	[T] COG3434 Predicted signal transduction protein containing EAL and modified HD-GYP domains
COG3435	[Q] COG3435 Gentisate 1,2-dioxygenase
COG3436	[L] COG3436 Transposase and inactivated derivatives
COG3437	[KT] COG3437 Response regulator containing a CheY-like receiver domain and an HD-GYP domain
COG3439	[S] COG3439 Uncharacterized conserved protein
COG3440	[V] COG3440 Predicted restriction endonuclease
COG3442	[R] COG3442 Predicted glutamine amidotransferase
COG3443	[R] COG3443 Predicted periplasmic or secreted protein
COG3444	[G] COG3444 Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific component IIB
COG3445	[R] COG3445 Acid-induced glycyl radical enzyme
COG3447	[T] COG3447 Predicted integral membrane sensor domain
COG3448	[T] COG3448 CBS-domain-containing membrane protein
COG3449	[L] COG3449 DNA gyrase inhibitor
COG3450	[R] COG3450 Predicted enzyme of the cupin superfamily
COG3451	[U] COG3451 Type IV secretory pathway, VirB4 components
COG3452	[T] COG3452 Predicted periplasmic ligand-binding sensor domain
COG3453	[S] COG3453 Uncharacterized protein conserved in bacteria
COG3454	[P] COG3454 Metal-dependent hydrolase involved in phosphonate metabolism
COG3455	[S] COG3455 Uncharacterized protein conserved in bacteria
COG3456	[T] COG3456 Uncharacterized conserved protein, contains FHA domain
COG3457	[E] COG3457 Predicted amino acid racemase
COG3458	[Q] COG3458 Acetyl esterase (deacetylase)
COG3459	[G] COG3459 Cellobiose phosphorylase
COG3460	[Q] COG3460 Uncharacterized enzyme of phenylacetate metabolism
COG3461	[S] COG3461 Uncharacterized conserved protein
COG3462	[S] COG3462 Predicted membrane protein
COG3463	[S] COG3463 Predicted membrane protein
COG3464	[L] COG3464 Transposase and inactivated derivatives
COG3465	[S] COG3465 Uncharacterized conserved protein
COG3466	[S] COG3466 Putative transposon-encoded protein
COG3467	[R] COG3467 Predicted flavin-nucleotide-binding protein
COG3468	[MU] COG3468 Type V secretory pathway, adhesin AidA
COG3469	[G] COG3469 Chitinase
COG3470	[P] COG3470 Uncharacterized protein probably involved in high-affinity Fe2+ transport
COG3471	[S] COG3471 Predicted periplasmic/secreted protein
COG3472	[S] COG3472 Uncharacterized conserved protein
COG3473	[Q] COG3473 Maleate cis-trans isomerase
COG3474	[C] COG3474 Cytochrome c2
COG3475	[M] COG3475 LPS biosynthesis protein
COG3476	[T] COG3476 Tryptophan-rich sensory protein (mitochondrial benzodiazepine receptor homolog)
COG3477	[S] COG3477 Predicted periplasmic/secreted protein
COG3478	[R] COG3478 Predicted nucleic-acid-binding protein containing a Zn-ribbon domain
COG3479	[Q] COG3479 Phenolic acid decarboxylase
COG3480	[T] COG3480 Predicted secreted protein containing a PDZ domain
COG3481	[R] COG3481 Predicted HD-superfamily hydrolase
COG3482	[S] COG3482 Uncharacterized conserved protein
COG3483	[E] COG3483 Tryptophan 2,3-dioxygenase (vermilion)
COG3484	[O] COG3484 Predicted proteasome-type protease
COG3485	[Q] COG3485 Protocatechuate 3,4-dioxygenase beta subunit
COG3486	[Q] COG3486 Lysine/ornithine N-monooxygenase
COG3487	[P] COG3487 Uncharacterized iron-regulated protein
COG3488	[C] COG3488 Predicted thiol oxidoreductase
COG3489	[R] COG3489 Predicted periplasmic lipoprotein
COG3490	[S] COG3490 Uncharacterized protein conserved in bacteria
COG3491	[R] COG3491 Isopenicillin N synthase and related dioxygenases
COG3492	[S] COG3492 Uncharacterized protein conserved in bacteria
COG3493	[C] COG3493 Na+/citrate symporter
COG3494	[S] COG3494 Uncharacterized protein conserved in bacteria
COG3495	[S] COG3495 Uncharacterized protein conserved in bacteria
COG3496	[S] COG3496 Uncharacterized conserved protein
COG3497	[R] COG3497 Phage tail sheath protein FI
COG3498	[R] COG3498 Phage tail tube protein FII
COG3499	[R] COG3499 Phage protein U
COG3500	[R] COG3500 Phage protein D
COG3501	[S] COG3501 Uncharacterized protein conserved in bacteria
COG3502	[S] COG3502 Uncharacterized protein conserved in bacteria
COG3503	[S] COG3503 Predicted membrane protein
COG3504	[U] COG3504 Type IV secretory pathway, VirB9 components
COG3505	[U] COG3505 Type IV secretory pathway, VirD4 components
COG3506	[S] COG3506 Uncharacterized conserved protein
COG3507	[G] COG3507 Beta-xylosidase
COG3508	[Q] COG3508 Homogentisate 1,2-dioxygenase
COG3509	[Q] COG3509 Poly(3-hydroxybutyrate) depolymerase
COG3510	[V] COG3510 Cephalosporin hydroxylase
COG3511	[M] COG3511 Phospholipase C
COG3512	[S] COG3512 Uncharacterized protein conserved in bacteria
COG3513	[S] COG3513 Uncharacterized protein conserved in bacteria
COG3514	[S] COG3514 Uncharacterized protein conserved in bacteria
COG3515	[S] COG3515 Uncharacterized protein conserved in bacteria
COG3516	[S] COG3516 Uncharacterized protein conserved in bacteria
COG3517	[S] COG3517 Uncharacterized protein conserved in bacteria
COG3518	[S] COG3518 Uncharacterized protein conserved in bacteria
COG3519	[S] COG3519 Uncharacterized protein conserved in bacteria
COG3520	[S] COG3520 Uncharacterized protein conserved in bacteria
COG3521	[S] COG3521 Uncharacterized protein conserved in bacteria
COG3522	[S] COG3522 Uncharacterized protein conserved in bacteria
COG3523	[S] COG3523 Uncharacterized protein conserved in bacteria
COG3524	[M] COG3524 Capsule polysaccharide export protein
COG3525	[G] COG3525 N-acetyl-beta-hexosaminidase
COG3526	[O] COG3526 Uncharacterized protein conserved in bacteria
COG3527	[Q] COG3527 Alpha-acetolactate decarboxylase
COG3528	[S] COG3528 Uncharacterized protein conserved in bacteria
COG3529	[R] COG3529 Predicted nucleic-acid-binding protein containing a Zn-ribbon domain
COG3530	[S] COG3530 Uncharacterized protein conserved in bacteria
COG3531	[O] COG3531 Predicted protein-disulfide isomerase
COG3533	[S] COG3533 Uncharacterized protein conserved in bacteria
COG3534	[G] COG3534 Alpha-L-arabinofuranosidase
COG3535	[S] COG3535 Uncharacterized conserved protein
COG3536	[S] COG3536 Uncharacterized protein conserved in bacteria
COG3537	[G] COG3537 Putative alpha-1,2-mannosidase
COG3538	[S] COG3538 Uncharacterized conserved protein
COG3539	[NU] COG3539 P pilus assembly protein, pilin FimA
COG3540	[P] COG3540 Phosphodiesterase/alkaline phosphatase D
COG3541	[R] COG3541 Predicted nucleotidyltransferase
COG3542	[S] COG3542 Uncharacterized conserved protein
COG3543	[S] COG3543 Uncharacterized conserved protein
COG3544	[S] COG3544 Uncharacterized protein conserved in bacteria
COG3545	[R] COG3545 Predicted esterase of the alpha/beta hydrolase fold
COG3546	[P] COG3546 Mn-containing catalase
COG3547	[L] COG3547 Transposase and inactivated derivatives
COG3548	[S] COG3548 Predicted integral membrane protein
COG3549	[R] COG3549 Plasmid maintenance system killer protein
COG3550	[R] COG3550 Uncharacterized protein related to capsule biosynthesis enzymes
COG3551	[S] COG3551 Uncharacterized protein conserved in bacteria
COG3552	[R] COG3552 Protein containing von Willebrand factor type A (vWA) domain
COG3553	[S] COG3553 Uncharacterized protein conserved in bacteria
COG3554	[S] COG3554 Uncharacterized protein conserved in bacteria
COG3555	[O] COG3555 Aspartyl/asparaginyl beta-hydroxylase and related dioxygenases
COG3556	[S] COG3556 Predicted membrane protein
COG3557	[J] COG3557 Uncharacterized domain/protein associated with RNAses G and E
COG3558	[S] COG3558 Uncharacterized protein conserved in bacteria
COG3559	[M] COG3559 Putative exporter of polyketide antibiotics
COG3560	[R] COG3560 Predicted oxidoreductase related to nitroreductase
COG3561	[K] COG3561 Phage anti-repressor protein
COG3562	[M] COG3562 Capsule polysaccharide export protein
COG3563	[M] COG3563 Capsule polysaccharide export protein
COG3564	[S] COG3564 Uncharacterized protein conserved in bacteria
COG3565	[R] COG3565 Predicted dioxygenase of extradiol dioxygenase family
COG3566	[S] COG3566 Uncharacterized protein conserved in bacteria
COG3567	[S] COG3567 Uncharacterized protein conserved in bacteria
COG3568	[R] COG3568 Metal-dependent hydrolase
COG3569	[L] COG3569 Topoisomerase IB
COG3570	[V] COG3570 Streptomycin 6-kinase
COG3571	[R] COG3571 Predicted hydrolase of the alpha/beta-hydrolase fold
COG3572	[H] COG3572 Gamma-glutamylcysteine synthetase
COG3573	[R] COG3573 Predicted oxidoreductase
COG3575	[S] COG3575 Uncharacterized protein conserved in bacteria
COG3576	[R] COG3576 Predicted flavin-nucleotide-binding protein structurally related to pyridoxine 5'-phosphate oxidase
COG3577	[R] COG3577 Predicted aspartyl protease
COG3579	[E] COG3579 Aminopeptidase C
COG3580	[S] COG3580 Uncharacterized protein conserved in bacteria
COG3581	[S] COG3581 Uncharacterized protein conserved in bacteria
COG3582	[R] COG3582 Predicted nucleic acid binding protein containing the AN1-type Zn-finger
COG3583	[S] COG3583 Uncharacterized protein conserved in bacteria
COG3584	[S] COG3584 Uncharacterized protein conserved in bacteria
COG3585	[H] COG3585 Molybdopterin-binding protein
COG3586	[S] COG3586 Uncharacterized conserved protein
COG3587	[V] COG3587 Restriction endonuclease
COG3588	[G] COG3588 Fructose-1,6-bisphosphate aldolase
COG3589	[S] COG3589 Uncharacterized conserved protein
COG3590	[O] COG3590 Predicted metalloendopeptidase
COG3591	[E] COG3591 V8-like Glu-specific endopeptidase
